1,Hydrogen,H,hcp
2,Helium,He,fcc
3,Lithium,Li,bcc
4,Beryllium,Be,hcp
5,Boron,B,stg
6,Carbon,C,hcp
7,Nitrogen,N,hcp
8,Oxygen,O,bcm
9,Fluorine,F,bcm
10,Neon,Ne,fcc
11,Sodium,Na,bcc
12,Magnesium,Mg,hcp
13,Aluminum,Al,fcc
14,Silicon,Si,dcc
15,Phosphorus,P,tpc
16,Sulfur,S,fco
17,Chlorine,Cl,bo
18,Argon,Ar,fcc
19,Potassium,K,bcc
20,Calcium,Ca,fcc
21,Scandium,Sc,hcp
22,Titanium,Ti,hcp
23,Vanadium,V,bcc
24,Chromium,Cr,bcc
25,Manganese,Mn,bcc
26,Iron,Fe,bcc
27,Cobalt,Co,hcp
28,Nickel,Ni,fcc
29,Copper,Cu,fcc
30,Zinc,Zn,hcp
31,Gallium,Ga,bo
32,Germanium,Ge,fcc
33,Arsenic,As,stg
34,Selenium,Se,hcp
35,Bromine,Br,bo
36,Krypton,Kr,fcc
37,Rubidium,Rb,bcc
38,Strontium,Sr,fcc
39,Yttrium,Y,hcp
40,Zirconium,Zr,hcp
41,Niobium,Nb,bcc
42,Molybdenum,Mo,bcc
43,Technetium,Tc,hcp
44,Ruthenium,Ru,hcp
45,Rhodium,Rh,fcc
46,Palladium,Pd,fcc
47,Silver,Ag,fcc
48,Cadmium,Cd,hcp
49,Indium,In,bct
50,Tin,Sn,bct
51,Antimony,Sb,stg
52,Tellurium,Te,stg
53,Iodine,I,bo
54,Xenon,Xe,fcc
55,Cesium,Cs,bcc
56,Barium,Ba,bcc
57,Lanthanum,La,hcp
58,Cerium,Ce,hcp
59,Praseodymium,Pr,hcp
60,Neodymium,Nd,hcp
61,Promethium,Pm,N/A
62,Samarium,Sm,stg
63,Europium,Eu,bcc
64,Gadolinium,Gd,hcp
65,Terbium,Tb,hcp
66,Dysprosium,Dy,hcp
67,Holmium,Ho,hcp
68,Erbium,Er,hcp
69,Thulium,Tm,hcp
70,Ytterbium,Yb,fcc
71,Lutetium,Lu,hcp
72,Hafnium,Hf,hcp
73,Tantalum,Ta,bcc
74,Tungsten,W,bcc
75,Rhenium,Re,hcp
76,Osmium,Os,hcp
77,Iridium,Ir,fcc
78,Platinum,Pt,fcc
79,Gold,Au,fcc
80,Mercury,Hg,stg
81,Thallium,Tl,hcp
82,Lead,Pb,fcc
83,Bismuth,Bi,bcm
84,Polonium,Po,scc
85,Astatine,At,N/A
86,Radon,Rn,N/A
87,Francium,Fr,N/A
88,Radium,Ra,bcc
89,Actinium,Ac,fcc
90,Thorium,Th,fcc
91,Protactinium,Pa,bct
92,Uranium,U,bo
93,Neptunium,Np,so
94,Plutonium,Pu,sm
95,Americium,Am,hcp
96,Curium,Cm,hcp
97,Berkelium,Bk,hcp
98,Californium,Cf,hcp
99,Einsteinium,Es,N/A
100,Fermium,Fm,N/A
101,Mendelevium,Md,N/A
102,Nobelium,No,N/A
103,Lawrencium,Lr,N/A
104,Rutherfordium,Rf,N/A
105,Dubnium,Db,N/A
106,Seaborgium,Sg,N/A
107,Bohrium,Bh,N/A
108,Hassium,Hs,N/A
109,Meitnerium,Mt,N/A
110,Darmstadtium,Ds,N/A
111,Roentgenium,Rg,N/A
112,Copernicium,Cn,N/A
113,Nihonium,Nh,N/A
114,Flerovium,Fl,N/A
115,Moscovium,Mc,N/A
116,Livermorium,Lv,N/A
117,Tennessine,Ts,N/A
118,Oganesson,Og,N/A
