1,Hydrogen,H,hcp,1.008,0.0899,53511900000000000000000.00
2,Helium,He,fcc,4.002602,0.1785,26757600000000000000000.00
3,Lithium,Li,bcc,6.94,0.535,46253600000000000000000.00
4,Beryllium,Be,hcp,9.0121831,1.848,123033000000000000000000.00
5,Boron,B,stg,10.81,2.46,136540000000000000000000.00
6,Carbon,C,hcp,12.011,2.26,112897000000000000000000.00
7,Nitrogen,N,hcp,14.007,1.251,53587500000000000000000.00
8,Oxygen,O,bcm,15.999,1.429,53590800000000000000000.00
9,Fluorine,F,bcm,18.99840316,1.696,53562400000000000000000.00
10,Neon,Ne,fcc,20.1797,0.9,26759600000000000000000.00
11,Sodium,Na,bcc,22.98976928,0.968,25263400000000000000000.00
12,Magnesium,Mg,hcp,24.305,1.738,42904800000000000000000.00
13,Aluminum,Al,fcc,26.9815385,2.7,60041100000000000000000.00
14,Silicon,Si,dcc,28.085,2.33,49777500000000000000000.00
15,Phosphorus,P,tpc,30.973762,1.823,35313800000000000000000.00
16,Sulfur,S,fco,32.06,1.96,36681200000000000000000.00
17,Chlorine,Cl,bo,35.45,3.214,54397700000000000000000.00
18,Argon,Ar,fcc,39.948,1.784,26794800000000000000000.00
19,Potassium,K,bcc,39.0983,0.856,13136100000000000000000.00
20,Calcium,Ca,fcc,40.078,1.55,23204800000000000000000.00
21,Scandium,Sc,hcp,44.955908,2.985,39839000000000000000000.00
22,Titanium,Ti,hcp,47.867,4.507,56494000000000000000000.00
23,Vanadium,V,bcc,50.9415,6.11,71964900000000000000000.00
24,Chromium,Cr,bcc,51.9961,7.19,82967800000000000000000.00
25,Manganese,Mn,bcc,54.938044,7.47,81582800000000000000000.00
26,Iron,Fe,bcc,55.845,7.874,84598400000000000000000.00
27,Cobalt,Co,hcp,58.933194,8.9,90611100000000000000000.00
28,Nickel,Ni,fcc,58.6934,8.908,91063000000000000000000.00
29,Copper,Cu,fcc,63.546,8.96,84600100000000000000000.00
30,Zinc,Zn,hcp,65.38,7.14,65524600000000000000000.00
31,Gallium,Ga,bo,69.723,5.904,50806800000000000000000.00
32,Germanium,Ge,fcc,72.63,5.323,43973600000000000000000.00
33,Arsenic,As,stg,74.921595,5.727,45863900000000000000000.00
34,Selenium,Se,hcp,78.971,4.819,36613400000000000000000.00
35,Bromine,Br,bo,79.904,3.12,23428100000000000000000.00
36,Krypton,Kr,fcc,83.798,3.75,26850300000000000000000.00
37,Rubidium,Rb,bcc,85.4678,1.532,10754900000000000000000.00
38,Strontium,Sr,fcc,87.62,2.63,18009600000000000000000.00
39,Yttrium,Y,hcp,88.90584,4.472,30180200000000000000000.00
40,Zirconium,Zr,hcp,91.224,6.511,42824300000000000000000.00
41,Niobium,Nb,bcc,92.90637,8.57,55346000000000000000000.00
42,Molybdenum,Mo,bcc,95.95,10.28,64283500000000000000000.00
43,Technetium,Tc,hcp,97,11.5,71134000000000000000000.00
44,Ruthenium,Ru,hcp,101.07,12.37,73434300000000000000000.00
45,Rhodium,Rh,fcc,102.9055,12.45,72590900000000000000000.00
46,Palladium,Pd,fcc,106.42,12.023,67786100000000000000000.00
47,Silver,Ag,fcc,107.8682,10.49,58349000000000000000000.00
48,Cadmium,Cd,hcp,112.414,8.65,46168600000000000000000.00
49,Indium,In,bct,114.818,7.31,38199600000000000000000.00
50,Tin,Sn,bct,118.71,7.31,36947200000000000000000.00
51,Antimony,Sb,stg,121.76,6.697,33001000000000000000000.00
52,Tellurium,Te,stg,127.6,6.24,29341700000000000000000.00
53,Iodine,I,bo,126.90447,4.94,23356200000000000000000.00
54,Xenon,Xe,fcc,131.293,5.9,26962600000000000000000.00
55,Cesium,Cs,bcc,132.905452,1.879,8482720000000000000000.00
56,Barium,Ba,bcc,137.327,3.51,15335700000000000000000.00
57,Lanthanum,La,hcp,138.90547,6.146,26547600000000000000000.00
58,Cerium,Ce,hcp,140.116,6.689,28643400000000000000000.00
59,Praseodymium,Pr,hcp,140.90766,6.64,28273800000000000000000.00
60,Neodymium,Nd,hcp,144.242,7.01,29159300000000000000000.00
61,Promethium,Pm,N/A,145,7.264,30057900000000000000000.00
62,Samarium,Sm,stg,150.36,7.353,29341600000000000000000.00
63,Europium,Eu,bcc,151.964,5.244,20704900000000000000000.00
64,Gadolinium,Gd,hcp,157.25,7.901,30146900000000000000000.00
65,Terbium,Tb,hcp,158.92535,8.219,31029700000000000000000.00
66,Dysprosium,Dy,hcp,162.5,8.551,31572900000000000000000.00
67,Holmium,Ho,hcp,164.93033,8.795,31995300000000000000000.00
68,Erbium,Er,hcp,167.259,9.066,32522000000000000000000.00
69,Thulium,Tm,hcp,168.93422,9.32,33101600000000000000000.00
70,Ytterbium,Yb,fcc,173.045,6.57,22780200000000000000000.00
71,Lutetium,Lu,hcp,174.9668,9.841,33747000000000000000000.00
72,Hafnium,Hf,hcp,178.49,13.31,44742000000000000000000.00
73,Tantalum,Ta,bcc,180.94788,16.65,55209300000000000000000.00
74,Tungsten,W,bcc,183.84,19.25,62826400000000000000000.00
75,Rhenium,Re,hcp,186.207,21.02,67731100000000000000000.00
76,Osmium,Os,hcp,190.23,22.59,71250600000000000000000.00
77,Iridium,Ir,fcc,192.217,22.56,70420400000000000000000.00
78,Platinum,Pt,fcc,195.084,21.45,65971600000000000000000.00
79,Gold,Au,fcc,196.966569,19.3,58791700000000000000000.00
80,Mercury,Hg,stg,200.592,13.534,40482200000000000000000.00
81,Thallium,Tl,hcp,204.38,11.85,34788100000000000000000.00
82,Lead,Pb,fcc,207.2,11.34,32837800000000000000000.00
83,Bismuth,Bi,bcm,208.9804,9.78,28079200000000000000000.00
84,Polonium,Po,scc,209,9.196,26400000000000000000000.00
85,Astatine,At,N/A,210,0,0.00
86,Radon,Rn,N/A,222,9.73,26297300000000000000000.00
87,Francium,Fr,N/A,223,0,0.00
88,Radium,Ra,bcc,226,5,13274300000000000000000.00
89,Actinium,Ac,fcc,227,10.07,26616700000000000000000.00
90,Thorium,Th,fcc,232.0377,11.724,30315800000000000000000.00
91,Protactinium,Pa,bct,231.03588,15.37,39915900000000000000000.00
92,Uranium,U,bo,238.02891,19.05,48019400000000000000000.00
93,Neptunium,Np,so,237,20.45,51772200000000000000000.00
94,Plutonium,Pu,sm,244,19.816,48727900000000000000000.00
95,Americium,Am,hcp,243,13.67,33753100000000000000000.00
96,Curium,Cm,hcp,247,13.51,32817800000000000000000.00
97,Berkelium,Bk,hcp,247,14.78,35902800000000000000000.00
98,Californium,Cf,hcp,251,15.1,36095600000000000000000.00
99,Einsteinium,Es,N/A,252,0,0.00
100,Fermium,Fm,N/A,257,0,0.00
101,Mendelevium,Md,N/A,258,0,0.00
102,Nobelium,No,N/A,259,0,0.00
103,Lawrencium,Lr,N/A,262,0,0.00
104,Rutherfordium,Rf,N/A,267,0,0.00
105,Dubnium,Db,N/A,270,0,0.00
106,Seaborgium,Sg,N/A,269,0,0.00
107,Bohrium,Bh,N/A,270,0,0.00
108,Hassium,Hs,N/A,270,0,0.00
109,Meitnerium,Mt,N/A,278,0,0.00
110,Darmstadtium,Ds,N/A,281,0,0.00
111,Roentgenium,Rg,N/A,281,0,0.00
112,Copernicium,Cn,N/A,285,0,0.00
113,Nihonium,Nh,N/A,286,0,0.00
114,Flerovium,Fl,N/A,289,0,0.00
115,Moscovium,Mc,N/A,289,0,0.00
116,Livermorium,Lv,N/A,293,0,0.00
117,Tennessine,Ts,N/A,293,0,0.00
118,Oganesson,Og,N/A,294,0,0.00
